Ref     Val              Package                PosX       PosY       Rot  Side
C1        .1uF             C_0402             116.8400  -106.9975  270.0000  top
C2        .1uF             C_0402             131.1275  -113.6650  270.0000  top
C3        .1uF             C_0402             132.7150  -110.4900    0.0000  top
C4        .1uF             C_0402             113.6650  -114.3000  180.0000  top
C5        .1uF             C_0402             123.1900   -55.8800    0.0000  top
C6        .1uF             C_0402             114.0460   -55.3720  180.0000  top
C7        .1uF             C_0402             114.0460   -62.7380  180.0000  top
C8        .1uF             C_0402             132.3340   -62.7380    0.0000  top
C9        .1uF             C_0402             132.3340   -55.6260    0.0000  top
C10       .1uF             C_0402             123.1900   -66.0400    0.0000  top
C11       .1uF             C_0402             114.0460   -65.5320  180.0000  top
C12       .1uF             C_0402             114.0460   -72.8980  180.0000  top
C13       .1uF             C_0402             132.3340   -72.8980    0.0000  top
C14       .1uF             C_0402             132.3340   -65.5320    0.0000  top
C15       .1uF             C_0402             123.1900   -78.7400    0.0000  top
C16       .1uF             C_0402             114.0460   -78.2320  180.0000  top
C17       .1uF             C_0402             114.0460   -85.5980  180.0000  top
C18       .1uF             C_0402             132.3340   -85.5980    0.0000  top
C19       .1uF             C_0402             132.3340   -78.2320    0.0000  top
C20       .1uF             C_0402             123.1900   -88.9000    0.0000  top
C21       .1uF             C_0402             114.0460   -88.3920  180.0000  top
C22       .1uF             C_0402             114.0460   -95.7580  180.0000  top
C23       .1uF             C_0402             132.3340   -95.7580    0.0000  top
C24       .1uF             C_0402             132.4720   -88.3920    0.0000  top
IC1       74HC4067         74HC_HTC4067       123.1900  -102.8700  180.0000  top
R1        10k              R_0402             129.2860  -100.5840  180.0000  top
R2        OMIT             R_0402             112.3950   -59.0550  180.0000  top
R3        OMIT             R_0402             114.0460   -57.4040  180.0000  top
R4        10k              R_0402             118.3640   -55.8800   90.0000  top
R5        10k              R_0402             116.8400   -55.8800  270.0000  top
R6        OMIT             R_0402             116.2050   -59.0550  180.0000  top
R7        OMIT             R_0402             114.0460   -60.7060    0.0000  top
R8        10k              R_0402             118.3640   -62.2300  270.0000  top
R9        10k              R_0402             116.8400   -62.2300   90.0000  top
R10       OMIT             R_0402             130.1750   -59.0550    0.0000  top
R11       OMIT             R_0402             132.3340   -60.7060  180.0000  top
R12       10k              R_0402             128.2700   -62.2300  270.0000  top
R13       10k              R_0402             129.7940   -62.2300   90.0000  top
R14       OMIT             R_0402             133.9850   -59.0550    0.0000  top
