Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0402_1005Metric_lines",76.200000,-141.732000,180.000000,top
"C2",".1uF","C_0402_1005Metric_lines",76.581000,-131.445000,0.000000,top
"C3",".1uF","C_0402_1005Metric_lines",89.662000,-132.080000,0.000000,top
"C4",".1uF","C_0402_1005Metric_lines",77.066000,-133.477000,0.000000,top
"C5",".1uF","C_0402_1005Metric_lines",89.662000,-134.239000,0.000000,top
"C6","10uF","C_0402_1005Metric_lines",78.509000,-136.779000,0.000000,top
"C7",".1uF","C_0402_1005Metric_lines",71.351000,-130.556000,180.000000,top
"C8",".1uF","C_0402_1005Metric_lines",76.223000,-84.582000,180.000000,top
"C9",".1uF","C_0402_1005Metric_lines",90.066000,-84.963000,0.000000,top
"C10",".1uF","C_0402_1005Metric_lines",90.170000,-107.061000,0.000000,top
"C11",".1uF","C_0402_1005Metric_lines",79.629000,-131.422000,90.000000,top
"C12",".1uF","C_0402_1005Metric_lines",76.073000,-109.624000,90.000000,top
"C13",".1uF","C_0402_1005Metric_lines",66.675000,-89.812000,90.000000,top
"C14",".1uF","C_0402_1005Metric_lines",66.675000,-99.845000,90.000000,top
"C15",".1uF","C_0402_1005Metric_lines",66.675000,-112.672000,90.000000,top
"C16",".1uF","C_0402_1005Metric_lines",66.675000,-122.936000,90.000000,top
"C17",".1uF","C_0402_1005Metric_lines",68.222000,-90.297000,0.000000,top
"C18",".1uF","C_0402_1005Metric_lines",68.199000,-100.330000,0.000000,top
"C19",".1uF","C_0402_1005Metric_lines",68.199000,-113.157000,0.000000,top
"C20",".1uF","C_0402_1005Metric_lines",68.199000,-123.444000,0.000000,top
"C21",".022uF","C_0402_1005Metric_lines",70.485000,-90.297000,0.000000,top
"C22",".022uF","C_0402_1005Metric_lines",70.508000,-100.330000,0.000000,top
"C23",".022uF","C_0402_1005Metric_lines",70.485000,-113.157000,0.000000,top
"C24",".022uF","C_0402_1005Metric_lines",70.485000,-123.444000,0.000000,top
"C25",".1uF","C_0402_1005Metric_lines",84.709000,-85.090000,270.000000,top
