Ref     Val              Package                PosX       PosY       Rot  Side
C1        .1uF             C_0402             191.0080   -97.7900   90.0000  top
C2        .1uF             C_0402             182.1180   -92.7100  270.0000  top
C3        C                C_0402             181.9275  -100.7110  180.0000  top
C4        C                C_0402             188.6585  -100.7110  180.0000  top
C5        C                C_0402             181.9275  -101.9810  180.0000  top
C6        C                C_0402             188.6585  -101.9810  180.0000  top
C7        C                C_0402             186.0550  -101.2825  270.0000  top
R1        10k              R_0402             201.6125   -92.0750  270.0000  top
R2        10k              R_0402             201.6760   -98.2980   90.0000  top
R3        10k              R_0402             171.4500   -99.6950   90.0000  top
R4        10k              R_0402             171.4500   -92.7100  270.0000  top
U1        SP3485CN         SO-8               196.5325   -92.0750  180.0000  top
U2        SP3485CN         SO-8               176.5300   -92.7100    0.0000  top
U3        TLV1117LV33DCYR  TLV1117LV33DCYR    186.0550   -94.6150  180.0000  top
U4        SP3485CN         SO-8               196.5960   -99.3140  180.0000  top
U5        SP3485CN         SO-8               176.5300   -99.6950    0.0000  top
